block,plot,bg,location,plants,seeds,im tillers,diseased,notes
7,7,A_low,sub1,,3,,,
7,7,A_low,sub1,,5,,,
7,7,A_low,sub1,,5,,,
7,7,A_low,sub1,,6,,,
7,7,A_low,sub1,,2,,,
7,7,A_low,sub2,8,4,,,
7,7,A_low,sub2,,2,,,
7,7,A_low,sub2,,5,,,
7,7,A_low,sub2,,6,,,
7,7,A_low,sub2,,4,,,
7,7,A_low,sub2,,5,,,
7,7,A_low,sub2,,2,,,
7,7,A_low,sub2,,,,1,
7,8,control,sub1,10,4,,,
7,8,control,sub1,,7,,,
7,8,control,sub1,,8,,,
7,8,control,sub1,,2,,,
7,8,control,sub1,,17,,,
7,8,control,sub1,,3,,,
7,8,control,sub1,,,,1,
7,8,control,sub1,,4,,,
7,8,control,sub1,,3,,,
7,8,control,sub1,,4,,,
7,8,control,sub2,1,8,,,
7,9,S_Phigh,sub1,0,,,,
7,9,S_Phigh,sub2,0,,,,
7,9,S_Phigh,full,2,2,,,
7,9,S_Phigh,full,,12,,,
7,10,S_Phigh,sub1,0,,,,
7,10,S_Phigh,sub2,1,11,,,
7,10,S_Phigh,full,4,10,,,
7,10,S_Phigh,full,,2,,,
7,10,S_Phigh,full,,3,,,
7,10,S_Phigh,full,,4,,,
8,1,control,sub1,9,3,,,
8,1,control,sub1,,3,,,
8,1,control,sub1,,2,,,
8,1,control,sub1,,4,,,
8,1,control,sub1,,5,,,
8,1,control,sub1,,4,,,
8,1,control,sub1,,3,,,
8,1,control,sub1,,6,,,
8,1,control,sub1,,11,,,
8,1,control,sub2,8,7,,,
8,1,control,sub2,,0,1,,
8,1,control,sub2,,0,1,,
8,1,control,sub2,,0,1,,
8,1,control,sub2,,4,,,
8,1,control,sub2,,1,,,
8,1,control,sub2,,3,,,
8,1,control,sub2,,4,,,
8,2,S_Phigh,sub1,14,2,,,
8,2,S_Phigh,sub1,,2,,,
8,2,S_Phigh,sub1,,3,,,
8,2,S_Phigh,sub1,,3,,,
8,2,S_Phigh,sub1,,5,,,
8,2,S_Phigh,sub1,,3,,,
