block,plot,bg,Stipa  type,Stipa diam (cm),Stipa tillers,seeds/tiller,num ss with tillers,num tillers on ss,% weed gram ,% weed forb,notes
8,2,S_P high,med,7,26,,,,,,
8,2,S_P high,med,6,16,,,,,,
8,2,S_P high,med,10,24,,,,,,
8,3,A high,phyto,8,26,29,,,0,5,
8,4,control,phyto,10,19,22,,,70,15,
8,5,S_s low,phyto,10,28,28,7,24,30,10,
8,6,S_P low,phyto,10,22,16,,,10,5,
8,6,S_P low,big,16,58,,,,,,
8,6,S_P low,med,12,16,,,,,,
8,6,S_P low,med,9,19,,,,,,
8,6,S_P low,med,16,67,,,,,,
8,6,S_P low,med,11,8,,,,,,
8,6,S_P low,med,6,10,,,,,,
8,7,S_s high,phyto,8,16,18,4,26,5,5,
8,8,A low,phyto,8,26,16,,,20,20,
8,9,S_P high,big,,,,,,,,"Gopher damage to background SP, * no phytometer"
8,9,S_P high,big,,,,,,,,Dropped- Only 1 SP left
8,9,S_P high,med,,,,,,,,
8,9,S_P high,med,,,,,,,,
8,9,S_P high,med,,,,,,,,
8,9,S_P high,med,,,,,,,,
8,9,S_P high,med,,,,,,,,
8,9,S_P high,med,,,,,,,,
8,9,S_P high,med,,,,,,,,
8,9,S_P high,med,,,,,,,,
8,9,S_P high,med,,,,,,,,
8,9,S_P high,med,,,,,,,,
8,10,S_P high,big,,,,,,,,Gopher damage to background SP* no phytometer
8,10,S_P high,big,,,,,,,,Dropped- Only 2 SP left
8,10,S_P high,med,,,,,,,,
8,10,S_P high,med,,,,,,,,
8,10,S_P high,med,,,,,,,,
8,10,S_P high,med,,,,,,,,
8,10,S_P high,med,,,,,,,,
8,10,S_P high,med,,,,,,,,
8,10,S_P high,med,,,,,,,,
8,10,S_P high,med,,,,,,,,
8,10,S_P high,med,,,,,,,,
8,10,S_P high,med,,,,,,,,
8,11,S_s low,,,,,,,,,* no phytometer
8,12,control,,,,,,,,,* no phytometer
9,1,A low,phyto,,,,,,,,
9,2,S_s low,phyto,,,,,,,,
9,3,A high,phyto,,,,,,,,
9,4,control,phyto,,,,,,,,
9,5,S_P high,phyto,,,,,,,,Gopher damage to background SP
9,5,S_P high,big,,,,,,,,
9,5,S_P high,big,,,,,,,,
9,5,S_P high,med,,,,,,,,
9,5,S_P high,med,,,,,,,,
9,5,S_P high,med,,,,,,,,
9,5,S_P high,med,,,,,,,,
9,5,S_P high,med,,,,,,,,
9,5,S_P high,med,,,,,,,,
9,5,S_P high,med,,,,,,,,
9,5,S_P high,med,,,,,,,,
9,5,S_P high,med,,,,,,,,
9,5,S_P high,med,,,,,,,,
9,6,S_P low,phyto,,,,,,,,Gopher damage to background SP
9,6,S_P low,big,,,,,,,,
9,6,S_P low,med,,,,,,,,
9,6,S_P low,med,,,,,,,,
9,6,S_P low,med,,,,,,,,
9,6,S_P low,med,,,,,,,,
9,6,S_P low,med,,,,,,,,
9,7,S_s high,phyto,,,,,,,,
9,8,control,phyto,,,,,,,,
9,9,S_P high,big,,,,,,,,
9,9,S_P high,big,,,,,,,,
9,9,S_P high,med,,,,,,,,
9,9,S_P high,med,,,,,,,,
9,9,S_P high,med,,,,,,,,
9,9,S_P high,med,,,,,,,,
9,9,S_P high,med,,,,,,,,
9,9,S_P high,med,,,,,,,,
9,9,S_P high,med,,,,,,,,
9,9,S_P high,med,,,,,,,,
9,9,S_P high,med,,,,,,,,
9,9,S_P high,med,,,,,,,,
9,10,S_P high,big,,,,,,,,
9,10,S_P high,big,,,,,,,,
9,10,S_P high,med,,,,,,,,
9,10,S_P high,med,,,,,,,,
9,10,S_P high,med,,,,,,,,
9,10,S_P high,med,,,,,,,,
9,10,S_P high,med,,,,,,,,
9,10,S_P high,med,,,,,,,,
9,10,S_P high,med,,,,,,,,
9,10,S_P high,med,,,,,,,,
9,10,S_P high,med,,,,,,,,
9,10,S_P high,med,,,,,,,,
9,11,S_s high,* no phytometer,,,,,,,,
9,12,control,* no phytometer,,,,,,,,
10,1,S_s high,phyto,15,18,,15,151,10,5,
10,2,S_s low,phyto,14,24,,12,90,15,15,
10,3,control,phyto,14,0,,,,10,0,
10,4,S_P low,phyto,7,3,,,,0,5,
10,4,S_P low,big,15,14,,,,,,
10,4,S_P low,med,9,5,,,,,,
10,4,S_P low,med,5,4,,,,,,
10,4,S_P low,med,5,3,,,,,,
10,4,S_P low,med,4,0,,,,,,
10,4,S_P low,med,12,8,,,,,,
10,5,S_P high,phyto,7,2,,,,0,5,
10,5,S_P high,big,12,9,,,,,,
10,5,S_P high,big,19,22,,,,,,
10,5,S_P high,med,7,7,,,,,,
10,5,S_P high,med,10,21,,,,,,
10,5,S_P high,med,4,4,,,,,,
10,5,S_P high,med,3,2,,,,,,
10,5,S_P high,med,5,11,,,,,,
10,5,S_P high,med,7,5,,,,,,
10,5,S_P high,med,9,14,,,,,,
10,5,S_P high,med,8,4,,,,,,
10,5,S_P high,med,14,16,,,,,,
10,5,S_P high,med,,,,,,,,Dead
10,6,A high,phyto,9,4,,,,3,0,
10,7,control,phyto,12,16,,,,0,5,
10,8,A low,phyto,9,8,,,,20,3,
10,9,S_P high,big,11,7,,,,5,5,* no phytometer
10,9,S_P high,big,13,25,,,,,,
10,9,S_P high,med,14,26,,,,,,
10,9,S_P high,med,10,2,,,,,,
10,9,S_P high,med,11,3,,,,,,
10,9,S_P high,med,14,18,,,,,,
10,9,S_P high,med,8,12,,,,,,
10,9,S_P high,med,7,6,,,,,,
10,9,S_P high,med,15,25,,,,,,
10,9,S_P high,med,8,12,,,,,,
10,9,S_P high,med,13,42,,,,,,
10,9,S_P high,med,10,22,,,,,,
10,10,S_P high,big,19,85,,,,5,3,* no phytometer
10,10,S_P high,big,19,65,,,,,,
10,10,S_P high,med,9,26,,,,,,
10,10,S_P high,med,9,27,,,,,,
10,10,S_P high,med,7,24,,,,,,
10,10,S_P high,med,8,21,,,,,,
10,10,S_P high,med,14,42,,,,,,
10,10,S_P high,med,10,26,,,,,,
10,10,S_P high,med,7,21,,,,,,
10,10,S_P high,med,5,16,,,,,,
10,10,S_P high,med,8,23,,,,,,
10,10,S_P high,med,,,,,,,,Dead
10,11,control,,,,,,,,,* no phytometer
10,12,S_s high,,,,,,,,,* no phytometer
11,1,control,phyto,9,18,,,,5,15,
11,2,S_P low,phyto,6,8,,1,22,10,10,
11,2,S_P low,big,9,31,,,,,,
11,2,S_P low,med,6,6,,,,,,
11,2,S_P low,med,10,21,,,,,,
11,2,S_P low,med,11,20,,,,,,
11,2,S_P low,med,8,14,,,,,,
11,2,S_P low,med,6,5,,,,,,
11,3,control,phyto,14,13,,,,15,10,
11,4,S_s low,phyto,6,4,,13,22,15,10,
11,5,S_P high,phyto,7,6,,,,5,5,
11,5,S_P high,big,9,20,,,,,,
11,5,S_P high,big,12,23,,,,,,
11,5,S_P high,med,6,10,,,,,,
11,5,S_P high,med,9,17,,,,,,
11,5,S_P high,med,10,20,,,,,,
11,5,S_P high,med,8,17,,,,,,
11,5,S_P high,med,10,13,,,,,,
11,5,S_P high,med,7,8,,,,,,
11,5,S_P high,med,9,4,,,,,,
11,5,S_P high,med,9,6,,,,,,
11,5,S_P high,med,11,15,,,,,,
11,5,S_P high,med,8,8,,,,,,
11,6,S_s high,phyto,6,3,,3,3,5,10,
11,7,A low,phyto,5,13,,,,5,10,
11,8,A high,phyto,,,,,,2,10,Dead
11,9,S_P high,big,,,,,,,,"Gopher damage no SP left, * no phytometer"
11,9,S_P high,big,,,,,,,,
11,9,S_P high,med,,,,,,,,
11,9,S_P high,med,,,,,,,,
11,9,S_P high,med,,,,,,,,
11,9,S_P high,med,,,,,,,,
11,9,S_P high,med,,,,,,,,
11,9,S_P high,med,,,,,,,,
11,9,S_P high,med,,,,,,,,
11,9,S_P high,med,,,,,,,,
11,9,S_P high,med,,,,,,,,
11,9,S_P high,med,,,,,,,,
11,10,S_P high,big,,,,,,,,Gopher damage only 3 SP left
11,10,S_P high,big,,,,,,,,
11,10,S_P high,med,,,,,,,,
11,10,S_P high,med,,,,,,,,
11,10,S_P high,med,,,,,,,,
11,10,S_P high,med,,,,,,,,
11,10,S_P high,med,,,,,,,,
11,10,S_P high,med,,,,,,,,
11,10,S_P high,med,,,,,,,,
11,10,S_P high,med,,,,,,,,
11,10,S_P high,med,,,,,,,,
11,10,S_P high,med,,,,,,,,
11,11,S_s high,* no phytometer,,,,,,,,
11,12,control,* no phytometer,,,,,,,,
12,1,control,phyto,8,2,,,,0,5,
12,2,A high,phyto,6,1,,,,0,15,
12,3,S_P high,phyto,6,8,,,,2,5,
12,3,S_P high,big,9,10,,,,,,
12,3,S_P high,big,7,14,,,,,,
12,3,S_P high,med,9,10,,,,,,
12,3,S_P high,med,10,5,,,,,,
12,3,S_P high,med,6,2,,,,,,
12,3,S_P high,med,10,18,,,,,,
12,3,S_P high,med,8,9,,,,,,
12,3,S_P high,med,10,9,,,,,,
12,3,S_P high,med,4,4,,,,,,
12,3,S_P high,med,11,20,,,,,,
12,3,S_P high,med,4,3,,,,,,
12,3,S_P high,med,9,13,,,,,,
12,4,S_P low,phyto,15,20,,1,2,10,15,
12,4,S_P low,big,20,21,,,,,,
12,4,S_P low,med,11,10,,,,,,
12,4,S_P low,med,10,11,,,,,,
12,4,S_P low,med,9,9,,,,,,
12,4,S_P low,med,12,19,,,,,,
12,4,S_P low,med,7,0,,,,,,
12,5,S_s low,phyto,11,22,,11,95,20,3,
12,6,A low,phyto,16,50,,,,10,10,
12,7,control,phyto,15,13,,,,5,5,
12,8,S_s high,phyto,9,39,,6,86,10,10,
12,9,S_P high,big,25,97,,,,1,10,
12,9,S_P high,big,16,61,,,,,,
12,9,S_P high,med,16,46,,,,,,
12,9,S_P high,med,5,0,,,,,,
12,9,S_P high,med,12,15,,,,,,
12,9,S_P high,med,11,14,,,,,,
12,9,S_P high,med,16,23,,,,,,
12,9,S_P high,med,9,6,,,,,,
12,9,S_P high,med,9,32,,,,,,
12,9,S_P high,med,5,12,,,,,,
12,9,S_P high,med,8,21,,,,,,
12,9,S_P high,med,,,,,,,,Dead
12,10,S_P high,big,13,48,,,,3,5,
12,10,S_P high,big,14,61,,,,,,
12,10,S_P high,med,11,34,,,,,,
12,10,S_P high,med,7,19,,,,,,
12,10,S_P high,med,8,8,,,,,,
12,10,S_P high,med,9,23,,,,,,
12,10,S_P high,med,6,14,,,,,,
12,10,S_P high,med,4,4,,,,,,
12,10,S_P high,med,8,19,,,,,,
12,10,S_P high,med,4,5,,,,,,
12,10,S_P high,med,7,12,,,,,,
12,10,S_P high,med,,,,,,,,Dead
12,11,control,,,,,,,,,* no phytometer
12,12,S_s high,,,,,,,,,
13,1,S_s high,phyto,8,3,,2,4,50,50,
13,2,control,phyto,9,12,,,,5,10,
13,3,S_P low,phyto,11,9,,,,5,5,
